"Statistic Label","Year","County","Type of Small Public Service Vehicle","UNIT","VALUE"
"Small public service vehicles","2019","Co. Clare","All small public Service vehicles","Number","338"
"Small public service vehicles","2019","Co. Clare","Hackney","Number","72"
"Small public service vehicles","2019","Co. Clare","Limousine","Number","103"
"Small public service vehicles","2019","Co. Clare","Taxi","Number","140"
"Small public service vehicles","2019","Co. Clare","Wheelchair Accessible Hackney","Number","10"
"Small public service vehicles","2019","Co. Clare","Wheelchair Accessible Taxi","Number","13"
"Small public service vehicles","2019","Co. Cork","All small public Service vehicles","Number","1792"
"Small public service vehicles","2019","Co. Cork","Hackney","Number","231"
"Small public service vehicles","2019","Co. Cork","Limousine","Number","216"
"Small public service vehicles","2019","Co. Cork","Taxi","Number","1143"
"Small public service vehicles","2019","Co. Cork","Wheelchair Accessible Hackney","Number","11"
"Small public service vehicles","2019","Co. Cork","Wheelchair Accessible Taxi","Number","191"
"Small public service vehicles","2019","Co. Cavan","All small public Service vehicles","Number","118"
"Small public service vehicles","2019","Co. Cavan","Hackney","Number","30"
"Small public service vehicles","2019","Co. Cavan","Limousine","Number","3"
"Small public service vehicles","2019","Co. Cavan","Taxi","Number","64"
"Small public service vehicles","2019","Co. Cavan","Wheelchair Accessible Hackney","Number","3"
"Small public service vehicles","2019","Co. Cavan","Wheelchair Accessible Taxi","Number","18"
"Small public service vehicles","2019","Co. Carlow","All small public Service vehicles","Number","127"
"Small public service vehicles","2019","Co. Carlow","Hackney","Number","12"
"Small public service vehicles","2019","Co. Carlow","Limousine","Number","7"
"Small public service vehicles","2019","Co. Carlow","Taxi","Number","82"
"Small public service vehicles","2019","Co. Carlow","Wheelchair Accessible Hackney","Number","1"
"Small public service vehicles","2019","Co. Carlow","Wheelchair Accessible Taxi","Number","25"
"Small public service vehicles","2019","Co. Donegal","All small public Service vehicles","Number","348"
"Small public service vehicles","2019","Co. Donegal","Hackney","Number","125"
"Small public service vehicles","2019","Co. Donegal","Limousine","Number","40"
"Small public service vehicles","2019","Co. Donegal","Taxi","Number","139"
"Small public service vehicles","2019","Co. Donegal","Wheelchair Accessible Hackney","Number","20"
"Small public service vehicles","2019","Co. Donegal","Wheelchair Accessible Taxi","Number","24"
"Small public service vehicles","2019","Co. Galway","All small public Service vehicles","Number","944"
"Small public service vehicles","2019","Co. Galway","Hackney","Number","90"
"Small public service vehicles","2019","Co. Galway","Limousine","Number","131"
"Small public service vehicles","2019","Co. Galway","Taxi","Number","523"
"Small public service vehicles","2019","Co. Galway","Wheelchair Accessible Hackney","Number","6"
"Small public service vehicles","2019","Co. Galway","Wheelchair Accessible Taxi","Number","194"
"Small public service vehicles","2019","Dublin","All small public Service vehicles","Number","11267"
"Small public service vehicles","2019","Dublin","Hackney","Number","25"
"Small public service vehicles","2019","Dublin","Limousine","Number","553"
"Small public service vehicles","2019","Dublin","Taxi","Number","8949"
"Small public service vehicles","2019","Dublin","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2019","Dublin","Wheelchair Accessible Taxi","Number","1738"
"Small public service vehicles","2019","Co. Kildare","All small public Service vehicles","Number","844"
"Small public service vehicles","2019","Co. Kildare","Hackney","Number","69"
"Small public service vehicles","2019","Co. Kildare","Limousine","Number","102"
"Small public service vehicles","2019","Co. Kildare","Taxi","Number","540"
"Small public service vehicles","2019","Co. Kildare","Wheelchair Accessible Hackney","Number","4"
"Small public service vehicles","2019","Co. Kildare","Wheelchair Accessible Taxi","Number","129"
"Small public service vehicles","2019","Co. Kilkenny","All small public Service vehicles","Number","191"
"Small public service vehicles","2019","Co. Kilkenny","Hackney","Number","17"
"Small public service vehicles","2019","Co. Kilkenny","Limousine","Number","14"
"Small public service vehicles","2019","Co. Kilkenny","Taxi","Number","121"
"Small public service vehicles","2019","Co. Kilkenny","Wheelchair Accessible Hackney","Number","7"
"Small public service vehicles","2019","Co. Kilkenny","Wheelchair Accessible Taxi","Number","32"
"Small public service vehicles","2019","Co. Kerry","All small public Service vehicles","Number","505"
"Small public service vehicles","2019","Co. Kerry","Hackney","Number","74"
"Small public service vehicles","2019","Co. Kerry","Limousine","Number","216"
"Small public service vehicles","2019","Co. Kerry","Taxi","Number","182"
"Small public service vehicles","2019","Co. Kerry","Wheelchair Accessible Hackney","Number",""
"Small public service vehicles","2019","Co. Kerry","Wheelchair Accessible Taxi","Number","33"
"Small public service vehicles","2019","Co. Longford","All small public Service vehicles","Number","80"
"Small public service vehicles","2019","Co. Longford","Hackney","Number","18"
"Small public service vehicles","2019","Co. Longford","Limousine","Number","7"
"Small public service vehicles","2019","Co. Longford","Taxi","Number","45"
"Small public service vehicles","2019","Co. Longford","Wheelchair Accessible Hackney","Number",""
"Small public service vehicles","2019","Co. Longford","Wheelchair Accessible Taxi","Number","10"
"Small public service vehicles","2019","Co. Louth","All small public Service vehicles","Number","558"
"Small public service vehicles","2019","Co. Louth","Hackney","Number","28"
"Small public service vehicles","2019","Co. Louth","Limousine","Number","74"
"Small public service vehicles","2019","Co. Louth","Taxi","Number","403"
"Small public service vehicles","2019","Co. Louth","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2019","Co. Louth","Wheelchair Accessible Taxi","Number","51"
"Small public service vehicles","2019","Co. Limerick","All small public Service vehicles","Number","643"
"Small public service vehicles","2019","Co. Limerick","Hackney","Number","45"
"Small public service vehicles","2019","Co. Limerick","Limousine","Number","138"
"Small public service vehicles","2019","Co. Limerick","Taxi","Number","395"
"Small public service vehicles","2019","Co. Limerick","Wheelchair Accessible Hackney","Number","4"
"Small public service vehicles","2019","Co. Limerick","Wheelchair Accessible Taxi","Number","61"
"Small public service vehicles","2019","Co. Leitrim","All small public Service vehicles","Number","58"
"Small public service vehicles","2019","Co. Leitrim","Hackney","Number","15"
"Small public service vehicles","2019","Co. Leitrim","Limousine","Number","7"
"Small public service vehicles","2019","Co. Leitrim","Taxi","Number","30"
"Small public service vehicles","2019","Co. Leitrim","Wheelchair Accessible Hackney","Number",""
"Small public service vehicles","2019","Co. Leitrim","Wheelchair Accessible Taxi","Number","6"
"Small public service vehicles","2019","Co. Laois","All small public Service vehicles","Number","245"
"Small public service vehicles","2019","Co. Laois","Hackney","Number","24"
"Small public service vehicles","2019","Co. Laois","Limousine","Number","13"
"Small public service vehicles","2019","Co. Laois","Taxi","Number","143"
"Small public service vehicles","2019","Co. Laois","Wheelchair Accessible Hackney","Number","7"
"Small public service vehicles","2019","Co. Laois","Wheelchair Accessible Taxi","Number","58"
"Small public service vehicles","2019","Co. Meath","All small public Service vehicles","Number","1168"
"Small public service vehicles","2019","Co. Meath","Hackney","Number","40"
"Small public service vehicles","2019","Co. Meath","Limousine","Number","94"
"Small public service vehicles","2019","Co. Meath","Taxi","Number","884"
"Small public service vehicles","2019","Co. Meath","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2019","Co. Meath","Wheelchair Accessible Taxi","Number","148"
"Small public service vehicles","2019","Co. Monaghan","All small public Service vehicles","Number","72"
"Small public service vehicles","2019","Co. Monaghan","Hackney","Number","31"
"Small public service vehicles","2019","Co. Monaghan","Limousine","Number","12"
"Small public service vehicles","2019","Co. Monaghan","Taxi","Number","10"
"Small public service vehicles","2019","Co. Monaghan","Wheelchair Accessible Hackney","Number","7"
"Small public service vehicles","2019","Co. Monaghan","Wheelchair Accessible Taxi","Number","12"
"Small public service vehicles","2019","Co. Mayo","All small public Service vehicles","Number","256"
"Small public service vehicles","2019","Co. Mayo","Hackney","Number","67"
"Small public service vehicles","2019","Co. Mayo","Limousine","Number","53"
"Small public service vehicles","2019","Co. Mayo","Taxi","Number","106"
"Small public service vehicles","2019","Co. Mayo","Wheelchair Accessible Hackney","Number","7"
"Small public service vehicles","2019","Co. Mayo","Wheelchair Accessible Taxi","Number","23"
"Small public service vehicles","2019","Co. Offaly","All small public Service vehicles","Number","150"
"Small public service vehicles","2019","Co. Offaly","Hackney","Number","54"
"Small public service vehicles","2019","Co. Offaly","Limousine","Number","21"
"Small public service vehicles","2019","Co. Offaly","Taxi","Number","60"
"Small public service vehicles","2019","Co. Offaly","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2019","Co. Offaly","Wheelchair Accessible Taxi","Number","13"
"Small public service vehicles","2019","Co. Roscommon","All small public Service vehicles","Number","114"
"Small public service vehicles","2019","Co. Roscommon","Hackney","Number","46"
"Small public service vehicles","2019","Co. Roscommon","Limousine","Number","14"
"Small public service vehicles","2019","Co. Roscommon","Taxi","Number","34"
"Small public service vehicles","2019","Co. Roscommon","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2019","Co. Roscommon","Wheelchair Accessible Taxi","Number","18"
"Small public service vehicles","2019","Co. Sligo","All small public Service vehicles","Number","166"
"Small public service vehicles","2019","Co. Sligo","Hackney","Number","11"
"Small public service vehicles","2019","Co. Sligo","Limousine","Number","26"
"Small public service vehicles","2019","Co. Sligo","Taxi","Number","110"
"Small public service vehicles","2019","Co. Sligo","Wheelchair Accessible Hackney","Number","4"
"Small public service vehicles","2019","Co. Sligo","Wheelchair Accessible Taxi","Number","15"
"Small public service vehicles","2019","Co. Tipperary","All small public Service vehicles","Number","230"
"Small public service vehicles","2019","Co. Tipperary","Hackney","Number","107"
"Small public service vehicles","2019","Co. Tipperary","Limousine","Number","77"
"Small public service vehicles","2019","Co. Tipperary","Taxi","Number","28"
"Small public service vehicles","2019","Co. Tipperary","Wheelchair Accessible Hackney","Number","12"
